lon,lat,alt,distr
-89.64942862,18.85409866,250,curr
-89.63839815,16.680135,314,curr
-89.55787033,18.52378724,252,curr
-89.54520264,18.24659804,296,curr
-89.46680625,15.47455593,16,curr
-89.45263802,15.34038969,9,curr
-89.44456422,18.70582214,289,curr
-89.41578209,19.14100757,215,curr
-89.40513949,18.48387394,248,curr
-89.39255827,17.35391813,224,curr
-89.36310285,19.79816108,79,curr
-89.35607684,19.09699074,176,curr
-89.27752864,17.70284196,150,curr
-89.22797679,18.02978481,189,curr
-89.21391872,16.96222835,189,curr
-89.19955204,17.59331448,199,curr
-89.19018653,18.42029975,153,curr
-89.17611316,18.05850956,170,curr
-89.12642313,17.93884271,71,curr
-89.06324952,15.67037125,55,curr
-89.04426153,17.44218714,240,curr
-89.03114052,17.21553471,88,curr
-88.98748533,16.5940062,676,curr
-88.89012147,15.5219342,387,curr
-88.86088455,18.17329578,99,curr
-88.77730557,16.47962891,34,curr
-88.76161799,15.83165218,27,curr
-88.73695241,19.73158645,49,curr
-88.68896111,18.03346848,11,curr
-88.53492699,18.51687861,23,curr
-88.52608487,19.47475408,13,curr
-88.50616656,18.95116627,32,curr
-88.47370078,18.02687905,4,curr
-88.46107251,19.01668937,22,curr
-88.39486036,17.35295175,23,curr
-88.35866445,17.34580821,6,curr
-88.3504106,20.39318701,27,curr
-88.29689308,18.63226827,9,curr
-88.28856426,20.75725004,28,curr
-88.23462695,20.28947279,29,curr
-88.16503387,19.85282831,21,curr
-88.11646813,19.56146375,22,curr
-88.10582553,21.34211428,10,curr
-88.1040017,19.77351505,23,curr
-88.09353718,19.72881561,20,curr
-88.05591865,19.12749142,14,curr
-88.03243322,20.65764256,26,curr
-88.02730197,18.86148024,0,curr
-88.01305219,20.7830665,21,curr
-87.98978008,18.58807347,10,curr
-87.97878265,20.92470022,20,curr
-87.96478986,20.12866576,17,curr
-87.9056627,18.57228721,5,curr
-87.81523382,19.22562093,13,curr
-87.78741222,21.03423065,20,curr
-87.77569728,20.96545867,21,curr
-87.48452621,20.35371239,4,curr
-87.29497984,21.29483883,14,curr
-87.15749516,21.36566702,11,curr
-87.09722744,15.53955966,374,curr
-86.89126258,21.33923545,15,curr
-86.85587802,15.62403692,1034,curr
-86.50258169,15.73709581,20,curr
-86.43788285,15.66431389,153,curr
-86.33921272,15.58640273,160,curr
-86.31377886,13.16200789,1178,curr
-86.20697044,13.92009877,1339,curr
-86.05629217,14.14691049,1108,curr
-85.77369986,10.24929366,84,curr
-85.77252188,13.49137298,395,curr
-85.74679623,14.78662124,354,curr
-85.64530039,13.29066589,1166,curr
-85.57424658,9.991191444,290,curr
-85.50465411,10.05268433,155,curr
-85.33950383,10.9717417,414,curr
-85.29107205,14.76858119,449,curr
-85.29021782,15.4955954,282,curr
-85.26094394,15.37780009,577,curr
-85.18260058,10.78616256,495,curr
-85.15041886,12.23003841,473,curr
-85.13007444,12.4179894,261,curr
-85.04450964,9.761423083,503,curr
-85.01448808,15.8521549,12,curr
-85.01190288,13.36957895,129,curr
-84.97651224,13.82834335,244,curr
-84.96283298,10.24765339,128,curr
-84.94268502,12.35853306,334,curr
-84.94180656,10.86050475,59,curr
-84.87088884,14.07554763,653,curr
-84.84084925,12.29000831,287,curr
-84.82993529,13.70081756,114,curr
-84.77004457,10.82876764,42,curr
-84.74677666,10.34438743,1476,curr
-84.70861838,14.1169425,160,curr
-84.68515234,14.42570736,192,curr
-84.68105389,14.36483207,248,curr
-84.56886675,12.68248366,131,curr
-84.56489365,12.26352012,162,curr
-84.54969811,13.05931154,62,curr
-84.54417555,15.00459193,118,curr
-84.52733466,15.55494152,16,curr
-84.49879256,12.31540771,85,curr
-84.43794224,11.41365762,215,curr
-84.43099698,10.22156337,1497,curr
-84.43004803,13.522922,45,curr
-84.3581314,15.05871378,63,curr
-84.33381108,10.29518069,1380,curr
-84.3337429,12.12395562,50,curr
-84.33243895,10.85287979,68,curr
-84.3201908,12.27459428,27,curr
-84.31489974,14.55629708,136,curr
-84.30801577,12.82255665,29,curr
-84.30487781,10.47097593,117,curr
-84.29583191,11.4279528,179,curr
-84.2081274,11.11362453,197,curr
-84.17759448,14.56158229,124,curr
-84.15646006,9.968772702,970,curr
-84.10220148,14.79442487,55,curr
-84.09883157,14.39533481,72,curr
-84.08817549,15.57553717,1,curr
-84.04624923,11.39068683,211,curr
-84.02328223,11.41782961,54,curr
-84.01985755,14.57407337,124,curr
-83.99304355,13.83580709,39,curr
-83.97635533,13.04919523,69,curr
-83.94634846,9.905210363,1584,curr
-83.93200018,14.05986515,110,curr
-83.83945197,12.12047246,2,curr
-83.83526091,11.87115101,0,curr
-83.81356585,12.72393577,30,curr
-83.73234281,13.1045419,38,curr
-83.70035766,13.78376926,9,curr
-83.69980352,13.2349675,23,curr
-83.68373462,15.18508795,3,curr
-83.66617536,9.696698887,2100,curr
-83.65974275,14.57593716,66,curr
-83.58044843,14.93801449,7,curr
-83.55527113,8.699160759,356,curr
-83.54994408,10.4416421,40,curr
-83.36763036,9.252689429,950,curr
